person,race,gender
"Anne Morgan, Kazu Hiro, Vivian Baker",A - W,F - M
"Bill Corso, Kazuhiro Tsuji",A - W,Male
"David Malinowski, Kazuhiro Tsuji, Lucy Sibbick",A - W,F - M
"Christien Tinsley, Keith Vanderlaan",White,Male
"Damian Martin, Elka Wardega, Lesley Vanderwalt",White,F - M
"Justin Raleigh, Linda Dowds, Stephanie Ingram",White,F - M
"Julie Dartnell, Lisa Westcott",White,Female
"Claudia Stolze, Laura Allen, Marese Langan",White,Female
"J. Roy Helland, Mark Coulier",White,Male
"Dalia Colli, Francesco Pegoretti, Mark Coulier",White,F - M
"Aldo Signoretti, Jason Baird, Mark Coulier",White,Male
"Lynn Johnston, Martial Corneville, Matthew W. Mungle",White,F - M
"Aldo Signoretti, Maurizio Silvi",White,Male
"Mike Elizalde, Thom Floutz",White,Male
"Carla Farmer, Mike Marino, Stacey Morris",B - W,F - M
"Julia Vernon, Nadia Stacey, Naomi Donne",White,Female
"Mike Fontaine, Mike Marino, Naomi Donne",White,F - M
"Naomi Donne, Rebecca Cole, Tristan Versluis",White,F - M
"Amanda Knight, Lisa Tomblin, Nick Dudman",White,F - M
"Kay Georgiou, Nicki Ledermann",White,F - M
"Arjen Tuiten, David White, Paul Gooch",White,Male
"Peter Owen, Richard Taylor",White,Male
"Peter Swords King, Rick Findlater, Tami Lane",White,F - M
"Peter King, Richard Taylor",White,Male
"Dave Elsey, Rick Baker",White,Male
"Kazuhiro Tsuji, Rick Baker",A - W,Male
"Jamika Wilson, Mia Neal, Sergio Lopez-Rivera",B - W,F - M
"Duncan Jarman, Robert Pandini, Siân Grigg",White,F - M
Stephen Prouty,White,Male
"Bill Corso, Valli O'Reilly",White,F - M
"Martin Samuel, Ve Neill",White,F - M
"Leslie Odom, Jr.",Black,Male
"Anthony Stacchi, Graham Annable, Travis Knight",White,Male
"Bob Persichetti, Christopher Miller, Peter Ramsey, Phil Lord, Rodney Rothman",B - W,Male
"Brad Bird, John Walker, Nicole Paradis Grindle",White,F - M
"Byron Howard, Clark Spencer, Rich Moore",White,Male
"Carlos Saldanha, Lori Forte",White,Male
"Charlie Kaufman, Duke Johnson, Rosa Tran",White,Male
"Chris Buck, Jennifer Lee, Peter Del Vecho",White,Male
"Arianne Sutner, Chris Butler, Travis Knight",White,F - M
"Chris Meledandri, Chris Renaud, Pierre Coffin",White,Male
"Chris Sanders, Kirk DeMicco, Kristine Belson",White,F - M
"Bonnie Arnold, Bradford Lewis, Dean DeBlois",White,F - M
"Andrew Goldman, Caroline Kaplan, Dean Fleischer Camp, Elisabeth Holm, Paul Mezey",White,F - M
"Carlos López Estrada, Don Hall, Osnat Shurer, Peter Del Vecho",H - W,F - M
"Chris Williams, Don Hall, Roy Conli",White,Male
"Dorota Kobiela, Hugh Welchman, Ivan Mactaggart",White,F - M
"Gennie Rim, Glen Keane, Peilin Chou",A - W,F - M
"Alex Bulkley, Gary Ungar, Guillermo del Toro, Mark Gustafson",H - W,Male
"Byron Howard, Clark Spencer, Jared Bush, Yvett Merino",H - W,F - M
"John Musker, Osnat Shurer, Ron Clements",White,F - M
"Charlotte De La Gournerie, Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen",White,F - M
"Jonas Rivera, Josh Cooley, Mark Nielsen",H - W,Male
"Christopher Miller, Kurt Albrecht, Mike Rianda, Phil Lord",White,Male
"John Lasseter, Pete Docter",White,Male
"Clark Spencer, Phil Johnston, Rich Moore",White,Male
