category,ceremony,film,film_awards.nomsBaftas,film_awards.nomsGoldenGlobes,film_awards.nomsOscars,film_awards.winsBaftas,film_awards.winsGoldenGlobes,film_awards.winsOscars,name,winner,year_ceremony,year_film
Film Editing,85,Zero Dark Thirty,4,3,4,0,1,1,Dylan Tichenor and William Goldenberg,false,2013,2012
International Feature Film,85,Amour,1,0,4,2,1,1,Austria,true,2013,2012
International Feature Film,85,Kon-Tiki,0,1,1,0,0,0,Norway,false,2013,2012
International Feature Film,85,No,0,0,0,0,0,0,Chile,false,2013,2012
International Feature Film,85,A Royal Affair,0,1,1,0,0,0,Denmark,false,2013,2012
International Feature Film,85,War Witch,0,0,1,0,0,0,Canada,false,2013,2012
Makeup and Hairstyling,85,Hitchcock,2,1,1,0,0,0,"Howard Berger, Peter Montagna and Martin Samuel",false,2013,2012
Makeup and Hairstyling,85,The Hobbit: An Unexpected Journey,3,0,3,0,0,0,"Peter Swords King, Rick Findlater and Tami Lane",false,2013,2012
Makeup and Hairstyling,85,Les Misérables,0,0,0,0,0,0,Lisa Westcott and Julie Dartnell,true,2013,2012
Music (Original Score),85,Anna Karenina,3,1,3,1,0,1,Dario Marianelli,false,2013,2012
Music (Original Score),85,Argo,3,3,4,2,2,3,Alexandre Desplat,false,2013,2012
Music (Original Score),85,Life of Pi,5,2,7,2,1,4,Mychael Danna,true,2013,2012
Music (Original Score),85,Lincoln,8,6,10,1,1,2,John Williams,false,2013,2012
Music (Original Score),85,Skyfall,6,0,3,0,1,2,Thomas Newman,false,2013,2012
Music (Original Song),85,Chasing Ice,0,0,1,0,0,0,Music and Lyric by J. Ralph,false,2013,2012
Music (Original Song),85,Ted,0,0,1,0,0,0,Music by Walter Murphy; Lyric by Seth MacFarlane,false,2013,2012
Music (Original Song),85,Life of Pi,5,2,7,2,1,4,Music by Mychael Danna; Lyric by Bombay Jayashri,false,2013,2012
Music (Original Song),85,Skyfall,6,0,3,0,1,2,Music and Lyric by Adele Adkins and Paul Epworth,true,2013,2012
Music (Original Song),85,Les Misérables,0,0,0,0,0,0,Music by Claude-Michel Schönberg; Lyric by Herbert Kretzmer and Alain Boublil,false,2013,2012
Best Picture,85,Amour,1,0,4,2,1,1,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",false,2013,2012
Best Picture,85,Argo,3,3,4,2,2,3,"Grant Heslov, Ben Affleck and George Clooney, Producers",true,2013,2012
Best Picture,85,Beasts of the Southern Wild,1,0,4,0,0,0,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",false,2013,2012
Best Picture,85,Django Unchained,2,3,3,2,2,2,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",false,2013,2012
Best Picture,85,Les Misérables,0,0,0,0,0,0,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",false,2013,2012
Best Picture,85,Life of Pi,5,2,7,2,1,4,"Gil Netter, Ang Lee and David Womark, Producers",false,2013,2012
Best Picture,85,Lincoln,8,6,10,1,1,2,"Steven Spielberg and Kathleen Kennedy, Producers",false,2013,2012
Best Picture,85,Silver Linings Playbook,2,3,7,1,1,1,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",false,2013,2012
Best Picture,85,Zero Dark Thirty,4,3,4,0,1,1,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",false,2013,2012
Production Design,85,Anna Karenina,3,1,3,1,0,1,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,false,2013,2012
Production Design,85,The Hobbit: An Unexpected Journey,3,0,3,0,0,0,Production Design: Dan Hennah; Set Decoration: Ra Vincent and Simon Bright,false,2013,2012
Production Design,85,Les Misérables,0,0,0,0,0,0,Production Design: Eve Stewart; Set Decoration: Anna Lynch-Robinson,false,2013,2012
Production Design,85,Life of Pi,5,2,7,2,1,4,Production Design: David Gropman; Set Decoration: Anna Pinnock,false,2013,2012
Production Design,85,Lincoln,8,6,10,1,1,2,Production Design: Rick Carter; Set Decoration: Jim Erickson,true,2013,2012
Short Film (Animated),85,Adam and Dog,0,0,1,0,0,0,Minkyu Lee,false,2013,2012
Short Film (Animated),85,Fresh Guacamole,0,0,1,0,0,0,PES,false,2013,2012
Short Film (Animated),85,Head over Heels,0,0,1,0,0,0,"Timothy Reckart and Fodhla Cronin O'Reilly",false,2013,2012
Short Film (Animated),85,"Maggie Simpson in ""The Longest Daycare""",0,0,1,0,0,0,David Silverman,false,2013,2012
Short Film (Animated),85,Paperman,0,0,0,0,0,1,John Kahrs,true,2013,2012
Short Film (Live Action),85,Asad,0,0,1,0,0,0,Bryan Buckley and Mino Jarjoura,false,2013,2012
Short Film (Live Action),85,Buzkashi Boys,0,0,1,0,0,0,Sam French and Ariel Nasr,false,2013,2012
Short Film (Live Action),85,Curfew,0,0,0,0,0,1,Shawn Christensen,true,2013,2012
Short Film (Live Action),85,Death of a Shadow (Dood van een Schaduw),0,0,1,0,0,0,Tom Van Avermaet and Ellen De Waele,false,2013,2012
Short Film (Live Action),85,Henry,0,0,0,0,0,0,Yan England,false,2013,2012
Sound,85,Argo,3,3,4,2,2,3,"John Reitz, Gregg Rudloff and Jose Antonio Garcia",false,2013,2012
Sound,85,Les Misérables,0,0,0,0,0,0,"Andy Nelson, Mark Paterson and Simon Hayes",true,2013,2012
Sound,85,Life of Pi,5,2,7,2,1,4,"Ron Bartlett, D.M. Hemphill and Drew Kunin",false,2013,2012
Sound,85,Lincoln,8,6,10,1,1,2,"Andy Nelson, Gary Rydstrom and Ronald Judkins",false,2013,2012
Sound,85,Skyfall,6,0,3,0,1,2,"Scott Millan, Greg P. Russell and Stuart Wilson",false,2013,2012
Visual Effects,85,The Hobbit: An Unexpected Journey,3,0,3,0,0,0,"Joe Letteri, Eric Saindon, David Clayton and R. Christopher White",false,2013,2012
Visual Effects,85,Life of Pi,5,2,7,2,1,4,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott",true,2013,2012
Visual Effects,85,"Marvel's The Avengers",1,0,1,0,0,0,"Janek Sirrs, Jeff White, Guy Williams and Dan Sudick",false,2013,2012
Visual Effects,85,Prometheus,1,0,1,0,0,0,"Richard Stammers, Trevor Wood, Charley Henley and Martin Hill",false,2013,2012
Visual Effects,85,Snow White and the Huntsman,1,0,2,0,0,0,"Cedric Nicolas-Troyan, Philip Brennan, Neil Corbould and Michael Dawson",false,2013,2012
Writing (Adapted Screenplay),85,Argo,3,3,4,2,2,3,Screenplay by Chris Terrio,true,2013,2012
Writing (Adapted Screenplay),85,Beasts of the Southern Wild,1,0,4,0,0,0,Screenplay by Lucy Alibar & Benh Zeitlin,false,2013,2012
Writing (Adapted Screenplay),85,Life of Pi,5,2,7,2,1,4,Screenplay by David Magee,false,2013,2012
Writing (Adapted Screenplay),85,Lincoln,8,6,10,1,1,2,Screenplay by Tony Kushner,false,2013,2012
Writing (Adapted Screenplay),85,Silver Linings Playbook,2,3,7,1,1,1,Screenplay by David O. Russell,false,2013,2012
Writing (Original Screenplay),85,Amour,1,0,4,2,1,1,Written by Michael Haneke,false,2013,2012
Writing (Original Screenplay),85,Django Unchained,2,3,3,2,2,2,Written by Quentin Tarantino,true,2013,2012
Writing (Original Screenplay),85,Flight,0,1,2,0,0,0,Written by John Gatins,false,2013,2012
Writing (Original Screenplay),85,Moonrise Kingdom,1,1,1,0,0,0,Written by Wes Anderson & Roman Coppola,false,2013,2012
Writing (Original Screenplay),85,Zero Dark Thirty,4,3,4,0,1,1,Written by Mark Boal,false,2013,2012
Actor in a Leading Role,86,American Hustle,6,4,10,3,3,0,Christian Bale,false,2014,2013
Actor in a Leading Role,86,Nebraska,3,5,6,0,0,0,Bruce Dern,false,2014,2013
Actor in a Leading Role,86,The Wolf of Wall Street,3,1,5,0,1,0,Leonardo DiCaprio,false,2014,2013
Actor in a Leading Role,86,12 Years a Slave,6,6,6,2,1,3,Chiwetel Ejiofor,false,2014,2013
Actor in a Leading Role,86,Dallas Buyers Club,0,0,3,0,2,3,Matthew McConaughey,true,2014,2013
Actor in a Supporting Role,86,Captain Phillips,6,4,6,1,0,0,Barkhad Abdi,false,2014,2013
Actor in a Supporting Role,86,American Hustle,6,4,10,3,3,0,Bradley Cooper,false,2014,2013
Actor in a Supporting Role,86,12 Years a Slave,6,6,6,2,1,3,Michael Fassbender,false,2014,2013
Actor in a Supporting Role,86,The Wolf of Wall Street,3,1,5,0,1,0,Jonah Hill,false,2014,2013
Actor in a Supporting Role,86,Dallas Buyers Club,0,0,3,0,2,3,Jared Leto,true,2014,2013
Actress in a Leading Role,86,American Hustle,6,4,10,3,3,0,Amy Adams,false,2014,2013
Actress in a Leading Role,86,Blue Jasmine,2,1,2,1,1,1,Cate Blanchett,true,2014,2013
Actress in a Leading Role,86,Gravity,5,3,3,3,1,7,Sandra Bullock,false,2014,2013
Actress in a Leading Role,86,Philomena,2,3,4,1,0,0,Judi Dench,false,2014,2013
Actress in a Leading Role,86,August: Osage County,1,2,2,0,0,0,Meryl Streep,false,2014,2013
Actress in a Supporting Role,86,Blue Jasmine,2,1,2,1,1,1,Sally Hawkins,false,2014,2013
Actress in a Supporting Role,86,American Hustle,6,4,10,3,3,0,Jennifer Lawrence,false,2014,2013
Actress in a Supporting Role,86,12 Years a Slave,6,6,6,2,1,3,"Lupita Nyong'o",true,2014,2013
Actress in a Supporting Role,86,August: Osage County,1,2,2,0,0,0,Julia Roberts,false,2014,2013
Actress in a Supporting Role,86,Nebraska,3,5,6,0,0,0,June Squibb,false,2014,2013
Animated Feature Film,86,The Croods,0,1,1,0,0,0,"Chris Sanders, Kirk DeMicco and Kristine Belson",false,2014,2013
Animated Feature Film,86,Despicable Me 2,1,1,2,0,0,0,"Chris Renaud, Pierre Coffin and Chris Meledandri",false,2014,2013
Animated Feature Film,86,Ernest & Celestine,0,0,1,0,0,0,Benjamin Renner and Didier Brunner,false,2014,2013
Animated Feature Film,86,Frozen,0,1,0,1,1,2,"Chris Buck, Jennifer Lee and Peter Del Vecho",true,2014,2013
Animated Feature Film,86,The Wind Rises,0,1,1,0,0,0,Hayao Miyazaki and Toshio Suzuki,false,2014,2013
Cinematography,86,The Grandmaster,0,0,2,0,0,0,Philippe Le Sourd,false,2014,2013
Cinematography,86,Gravity,5,3,3,3,1,7,Emmanuel Lubezki,true,2014,2013
Cinematography,86,Inside Llewyn Davis,3,3,2,0,0,0,Bruno Delbonnel,false,2014,2013
Cinematography,86,Nebraska,3,5,6,0,0,0,Phedon Papamichael,false,2014,2013
Cinematography,86,Prisoners,0,0,1,0,0,0,Roger A. Deakins,false,2014,2013
Costume Design,86,American Hustle,6,4,10,3,3,0,Michael Wilkinson,false,2014,2013
Costume Design,86,The Grandmaster,0,0,2,0,0,0,William Chang Suk Ping,false,2014,2013
Costume Design,86,The Great Gatsby,1,0,0,2,0,2,Catherine Martin,true,2014,2013
Costume Design,86,The Invisible Woman,1,0,1,0,0,0,"Michael O'Connor",false,2014,2013
Costume Design,86,12 Years a Slave,6,6,6,2,1,3,Patricia Norris,false,2014,2013
Directing,86,American Hustle,6,4,10,3,3,0,David O. Russell,false,2014,2013
Directing,86,Gravity,5,3,3,3,1,7,Alfonso Cuarón,true,2014,2013
Directing,86,Nebraska,3,5,6,0,0,0,Alexander Payne,false,2014,2013
Directing,86,12 Years a Slave,6,6,6,2,1,3,Steve McQueen,false,2014,2013
Directing,86,The Wolf of Wall Street,3,1,5,0,1,0,Martin Scorsese,false,2014,2013
Documentary Feature Film,86,The Act of Killing,1,0,1,1,0,0,Joshua Oppenheimer and Signe Byrge Sørensen,false,2014,2013
Documentary Feature Film,86,Cutie and the Boxer,0,0,1,0,0,0,Zachary Heinzerling and Lydia Dean Pilcher,false,2014,2013
Documentary Feature Film,86,Dirty Wars,0,0,1,0,0,0,Richard Rowley and Jeremy Scahill,false,2014,2013
Documentary Feature Film,86,The Square,0,1,1,0,0,0,Jehane Noujaim and Karim Amer,false,2014,2013
Documentary Feature Film,86,20 Feet from Stardom,1,0,0,0,0,1,"Morgan Neville, Gil Friesen and Caitrin Rogers",true,2014,2013
Documentary Short Film,86,CaveDigger,0,0,1,0,0,0,Jeffrey Karoff,false,2014,2013
Documentary Short Film,86,Facing Fear,0,0,1,0,0,0,Jason Cohen,false,2014,2013
Documentary Short Film,86,Karama Has No Walls,0,0,1,0,0,0,Sara Ishaq,false,2014,2013
Documentary Short Film,86,The Lady in Number 6: Music Saved My Life,0,0,0,0,0,1,Malcolm Clarke and Nicholas Reed,true,2014,2013
Documentary Short Film,86,Prison Terminal: The Last Days of Private Jack Hall,0,0,1,0,0,0,Edgar Barens,false,2014,2013
Film Editing,86,American Hustle,6,4,10,3,3,0,"Jay Cassidy, Crispin Struthers and Alan Baumgarten",false,2014,2013
Film Editing,86,Captain Phillips,6,4,6,1,0,0,Christopher Rouse,false,2014,2013
Film Editing,86,Dallas Buyers Club,0,0,3,0,2,3,John Mac McMurphy and Martin Pensa,false,2014,2013
Film Editing,86,Gravity,5,3,3,3,1,7,Alfonso Cuarón and Mark Sanger,true,2014,2013
Film Editing,86,12 Years a Slave,6,6,6,2,1,3,Joe Walker,false,2014,2013
International Feature Film,86,The Broken Circle Breakdown,0,0,1,0,0,0,Belgium,false,2014,2013
International Feature Film,86,The Great Beauty,0,3,0,1,2,1,Italy,true,2014,2013
International Feature Film,86,The Hunt,1,1,1,0,0,0,Denmark,false,2014,2013
International Feature Film,86,The Missing Picture,0,0,1,0,0,0,Cambodia,false,2014,2013
International Feature Film,86,Omar,0,0,1,0,0,0,Palestine,false,2014,2013
Makeup and Hairstyling,86,Dallas Buyers Club,0,0,3,0,2,3,Adruitha Lee and Robin Mathews,true,2014,2013
Makeup and Hairstyling,86,Jackass Presents: Bad Grandpa,0,0,1,0,0,0,Stephen Prouty,false,2014,2013
Makeup and Hairstyling,86,The Lone Ranger,0,0,2,0,0,0,Joel Harlow and Gloria Pasqua-Casny,false,2014,2013
Music (Original Score),86,The Book Thief,0,1,1,0,0,0,John Williams,false,2014,2013
Music (Original Score),86,Gravity,5,3,3,3,1,7,Steven Price,true,2014,2013
Music (Original Score),86,Her,0,2,4,0,1,1,William Butler and Owen Pallett,false,2014,2013
Music (Original Score),86,Philomena,2,3,4,1,0,0,Alexandre Desplat,false,2014,2013
Music (Original Score),86,Saving Mr. Banks,3,1,1,0,0,0,Thomas Newman,false,2014,2013
Music (Original Song),86,Alone Yet Not Alone,0,0,1,0,0,0,Music by Bruce Broughton; Lyric by Dennis Spiegel,false,2014,2013
Music (Original Song),86,Despicable Me 2,1,1,2,0,0,0,Music and Lyric by Pharrell Williams,false,2014,2013
Music (Original Song),86,Frozen,0,1,0,1,1,2,Music and Lyric by Kristen Anderson-Lopez and Robert Lopez,true,2014,2013
Music (Original Song),86,Her,0,2,4,0,1,1,Music by Karen O; Lyric by Karen O and Spike Jonze,false,2014,2013
Music (Original Song),86,Mandela: Long Walk to Freedom,0,2,1,0,1,0,"Music by Paul Hewson, Dave Evans, Adam Clayton and Larry Mullen; Lyric by Paul Hewson",false,2014,2013
Best Picture,86,American Hustle,6,4,10,3,3,0,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",false,2014,2013
Best Picture,86,Captain Phillips,6,4,6,1,0,0,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",false,2014,2013
Best Picture,86,Dallas Buyers Club,0,0,3,0,2,3,"Robbie Brenner and Rachel Winter, Producers",false,2014,2013
Best Picture,86,Gravity,5,3,3,3,1,7,"Alfonso Cuarón and David Heyman, Producers",false,2014,2013
Best Picture,86,Her,0,2,4,0,1,1,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",false,2014,2013
Best Picture,86,Nebraska,3,5,6,0,0,0,"Albert Berger and Ron Yerxa, Producers",false,2014,2013
Best Picture,86,Philomena,2,3,4,1,0,0,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",false,2014,2013
Best Picture,86,12 Years a Slave,6,6,6,2,1,3,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",true,2014,2013
Best Picture,86,The Wolf of Wall Street,3,1,5,0,1,0,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers",false,2014,2013
Production Design,86,American Hustle,6,4,10,3,3,0,Production Design: Judy Becker; Set Decoration: Heather Loeffler,false,2014,2013
Production Design,86,Gravity,5,3,3,3,1,7,Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard,false,2014,2013
Production Design,86,The Great Gatsby,1,0,0,2,0,2,Production Design: Catherine Martin; Set Decoration: Beverley Dunn,true,2014,2013
Production Design,86,Her,0,2,4,0,1,1,Production Design: K.K. Barrett; Set Decoration: Gene Serdena,false,2014,2013
Production Design,86,12 Years a Slave,6,6,6,2,1,3,Production Design: Adam Stockhausen; Set Decoration: Alice Baker,false,2014,2013
Short Film (Animated),86,Feral,0,0,1,0,0,0,Daniel Sousa and Dan Golden,false,2014,2013
Short Film (Animated),86,Get a Horse!,0,0,1,0,0,0,Lauren MacMullan and Dorothy McKim,false,2014,2013
Short Film (Animated),86,Mr. Hublot,0,0,0,0,0,1,Laurent Witz and Alexandre Espigares,true,2014,2013
Short Film (Animated),86,Possessions,0,0,1,0,0,0,Shuhei Morita,false,2014,2013
Short Film (Animated),86,Room on the Broom,0,0,1,0,0,0,Max Lang and Jan Lachauer,false,2014,2013
Short Film (Live Action),86,"Aquel No Era Yo (That Wasn't Me)",0,0,1,0,0,0,Esteban Crespo,false,2014,2013
Short Film (Live Action),86,Avant Que De Tout Perdre (Just before Losing Everything),0,0,1,0,0,0,Xavier Legrand and Alexandre Gavras,false,2014,2013
Short Film (Live Action),86,Helium,0,0,0,0,0,1,Anders Walter and Kim Magnusson,true,2014,2013
Short Film (Live Action),86,Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),0,0,1,0,0,0,Selma Vilhunen and Kirsikka Saari,false,2014,2013
Short Film (Live Action),86,The Voorman Problem,1,0,1,0,0,0,Mark Gill and Baldwin Li,false,2014,2013
Sound,86,Captain Phillips,6,4,6,1,0,0,"Chris Burdon, Mark Taylor, Mike Prestwood Smith and Chris Munro",false,2014,2013
Sound,86,Gravity,5,3,3,3,1,7,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro",true,2014,2013
Sound,86,The Hobbit: The Desolation of Smaug,2,0,3,0,0,0,"Christopher Boyes, Michael Hedges, Michael Semanick and Tony Johnson",false,2014,2013
Sound,86,Inside Llewyn Davis,3,3,2,0,0,0,"Skip Lievsay, Greg Orloff and Peter F. Kurland",false,2014,2013
Sound,86,Lone Survivor,0,0,2,0,0,0,"Andy Koyama, Beau Borders and David Brownlow",false,2014,2013
Visual Effects,86,Gravity,5,3,3,3,1,7,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould",true,2014,2013
Visual Effects,86,The Hobbit: The Desolation of Smaug,2,0,3,0,0,0,"Joe Letteri, Eric Saindon, David Clayton and Eric Reynolds",false,2014,2013
Visual Effects,86,Iron Man 3,1,0,1,0,0,0,"Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick",false,2014,2013
Visual Effects,86,The Lone Ranger,0,0,2,0,0,0,"Tim Alexander, Gary Brozenich, Edson Williams and John Frazier",false,2014,2013
Visual Effects,86,Star Trek Into Darkness,1,0,1,0,0,0,"Roger Guyett, Patrick Tubach, Ben Grossmann and Burt Dalton",false,2014,2013
Writing (Adapted Screenplay),86,Before Midnight,0,1,1,0,0,0,"Written by Richard Linklater, Julie Delpy, Ethan Hawke",false,2014,2013
Writing (Adapted Screenplay),86,Captain Phillips,6,4,6,1,0,0,Screenplay by Billy Ray,false,2014,2013
Writing (Adapted Screenplay),86,Philomena,2,3,4,1,0,0,Screenplay by Steve Coogan and Jeff Pope,false,2014,2013
Writing (Adapted Screenplay),86,12 Years a Slave,6,6,6,2,1,3,Screenplay by John Ridley,true,2014,2013
Writing (Adapted Screenplay),86,The Wolf of Wall Street,3,1,5,0,1,0,Screenplay by Terence Winter,false,2014,2013
Writing (Original Screenplay),86,American Hustle,6,4,10,3,3,0,Written by Eric Warren Singer and David O. Russell,false,2014,2013
Writing (Original Screenplay),86,Blue Jasmine,2,1,2,1,1,1,Written by Woody Allen,false,2014,2013
Writing (Original Screenplay),86,Dallas Buyers Club,0,0,3,0,2,3,Written by Craig Borten & Melisa Wallack,false,2014,2013
Writing (Original Screenplay),86,Her,0,2,4,0,1,1,Written by Spike Jonze,true,2014,2013
Writing (Original Screenplay),86,Nebraska,3,5,6,0,0,0,Written by Bob Nelson,false,2014,2013
Actor in a Leading Role,87,Foxcatcher,2,3,5,0,0,0,Steve Carell,false,2015,2014
Actor in a Leading Role,87,American Sniper,2,0,5,0,0,1,Bradley Cooper,false,2015,2014
Actor in a Leading Role,87,The Imitation Game,8,5,7,0,0,1,Benedict Cumberbatch,false,2015,2014
Actor in a Leading Role,87,Birdman or (The Unexpected Virtue of Ignorance),8,5,5,1,2,4,Michael Keaton,false,2015,2014
Actor in a Leading Role,87,The Theory of Everything,6,2,4,2,2,1,Eddie Redmayne,true,2015,2014
Actor in a Supporting Role,87,The Judge,0,1,1,0,0,0,Robert Duvall,false,2015,2014
Actor in a Supporting Role,87,Boyhood,2,2,5,2,3,1,Ethan Hawke,false,2015,2014
Actor in a Supporting Role,87,Birdman or (The Unexpected Virtue of Ignorance),8,5,5,1,2,4,Edward Norton,false,2015,2014
Actor in a Supporting Role,87,Foxcatcher,2,3,5,0,0,0,Mark Ruffalo,false,2015,2014
Actor in a Supporting Role,87,Whiplash,1,0,2,3,1,3,J.K. Simmons,true,2015,2014
Actress in a Leading Role,87,"Two Days, One Night",0,2,1,0,1,0,Marion Cotillard,false,2015,2014
Actress in a Leading Role,87,The Theory of Everything,6,2,4,2,2,1,Felicity Jones,false,2015,2014
Actress in a Leading Role,87,Still Alice,0,0,0,1,1,1,Julianne Moore,true,2015,2014
Actress in a Leading Role,87,Gone Girl,2,4,1,0,0,0,Rosamund Pike,false,2015,2014
Actress in a Leading Role,87,Wild,1,1,2,0,0,0,Reese Witherspoon,false,2015,2014
Actress in a Supporting Role,87,Boyhood,2,2,5,2,3,1,Patricia Arquette,true,2015,2014
Actress in a Supporting Role,87,Wild,1,1,2,0,0,0,Laura Dern,false,2015,2014
Actress in a Supporting Role,87,The Imitation Game,8,5,7,0,0,1,Keira Knightley,false,2015,2014
Actress in a Supporting Role,87,Birdman or (The Unexpected Virtue of Ignorance),8,5,5,1,2,4,Emma Stone,false,2015,2014
Actress in a Supporting Role,87,Into the Woods,2,3,3,0,0,0,Meryl Streep,false,2015,2014
Animated Feature Film,87,Big Hero 6,1,1,0,0,0,1,"Don Hall, Chris Williams and Roy Conli",true,2015,2014
Animated Feature Film,87,The Boxtrolls,1,1,1,0,0,0,"Anthony Stacchi, Graham Annable and Travis Knight",false,2015,2014
Animated Feature Film,87,How to Train Your Dragon 2,0,0,1,0,1,0,Dean DeBlois and Bonnie Arnold,false,2015,2014
Animated Feature Film,87,Song of the Sea,0,0,1,0,0,0,Tomm Moore and Paul Young,false,2015,2014
Animated Feature Film,87,The Tale of the Princess Kaguya,0,0,1,0,0,0,Isao Takahata and Yoshiaki Nishimura,false,2015,2014
Cinematography,87,Birdman or (The Unexpected Virtue of Ignorance),8,5,5,1,2,4,Emmanuel Lubezki,true,2015,2014
Cinematography,87,The Grand Budapest Hotel,5,3,5,5,1,4,Robert Yeoman,false,2015,2014
Cinematography,87,Ida,1,1,1,1,0,1,Lukasz Zal and Ryszard Lenczewski,false,2015,2014
Cinematography,87,Mr. Turner,4,0,4,0,0,0,Dick Pope,false,2015,2014
Cinematography,87,Unbroken,0,0,3,0,0,0,Roger Deakins,false,2015,2014
Costume Design,87,The Grand Budapest Hotel,5,3,5,5,1,4,Milena Canonero,true,2015,2014
Costume Design,87,Inherent Vice,0,1,2,0,0,0,Mark Bridges,false,2015,2014
Costume Design,87,Into the Woods,2,3,3,0,0,0,Colleen Atwood,false,2015,2014
Costume Design,87,Maleficent,0,0,1,0,0,0,Anna B. Sheppard,false,2015,2014
Costume Design,87,Mr. Turner,4,0,4,0,0,0,Jacqueline Durran,false,2015,2014
Directing,87,Birdman or (The Unexpected Virtue of Ignorance),8,5,5,1,2,4,Alejandro G. Iñárritu,true,2015,2014
Directing,87,Boyhood,2,2,5,2,3,1,Richard Linklater,false,2015,2014
Directing,87,Foxcatcher,2,3,5,0,0,0,Bennett Miller,false,2015,2014
Directing,87,The Grand Budapest Hotel,5,3,5,5,1,4,Wes Anderson,false,2015,2014
Directing,87,The Imitation Game,8,5,7,0,0,1,Morten Tyldum,false,2015,2014
Documentary Feature Film,87,CitizenFour,0,0,0,1,0,1,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky",true,2015,2014
Documentary Feature Film,87,Finding Vivian Maier,1,0,1,0,0,0,John Maloof and Charlie Siskel,false,2015,2014
Documentary Feature Film,87,Last Days in Vietnam,0,0,1,0,0,0,Rory Kennedy and Keven McAlester,false,2015,2014
Documentary Feature Film,87,The Salt of the Earth,0,0,1,0,0,0,"Wim Wenders, Juliano Ribeiro Salgado and David Rosier",false,2015,2014
Documentary Feature Film,87,Virunga,1,0,1,0,0,0,Orlando von Einsiedel and Joanna Natasegara,false,2015,2014
Documentary Short Film,87,Crisis Hotline: Veterans Press 1,0,0,0,0,0,1,Ellen Goosenberg Kent and Dana Perry,true,2015,2014
Documentary Short Film,87,Joanna,0,0,0,0,0,0,Aneta Kopacz,false,2015,2014
Documentary Short Film,87,Our Curse,0,0,1,0,0,0,Tomasz Sliwinski and Maciej Slesicki,false,2015,2014
Documentary Short Film,87,The Reaper (La Parka),0,0,1,0,0,0,Gabriel Serra Arguello,false,2015,2014
Documentary Short Film,87,White Earth,0,0,1,0,0,0,J. Christian Jensen,false,2015,2014
Film Editing,87,American Sniper,2,0,5,0,0,1,Joel Cox and Gary D. Roach,false,2015,2014
Film Editing,87,Boyhood,2,2,5,2,3,1,Sandra Adair,false,2015,2014
Film Editing,87,The Grand Budapest Hotel,5,3,5,5,1,4,Barney Pilling,false,2015,2014
Film Editing,87,The Imitation Game,8,5,7,0,0,1,William Goldenberg,false,2015,2014
Film Editing,87,Whiplash,1,0,2,3,1,3,Tom Cross,true,2015,2014
International Feature Film,87,Ida,1,1,1,1,0,1,Poland,true,2015,2014
International Feature Film,87,Leviathan,1,0,1,0,1,0,Russia,false,2015,2014
International Feature Film,87,Tangerines,0,1,1,0,0,0,Estonia,false,2015,2014
International Feature Film,87,Timbuktu,1,0,1,0,0,0,Mauritania,false,2015,2014
International Feature Film,87,Wild Tales,0,0,1,1,0,0,Argentina,false,2015,2014
Makeup and Hairstyling,87,Foxcatcher,2,3,5,0,0,0,Bill Corso and Dennis Liddiard,false,2015,2014
Makeup and Hairstyling,87,The Grand Budapest Hotel,5,3,5,5,1,4,Frances Hannon and Mark Coulier,true,2015,2014
Makeup and Hairstyling,87,Guardians of the Galaxy,2,0,2,0,0,0,Elizabeth Yianni-Georgiou and David White,false,2015,2014
Music (Original Score),87,The Grand Budapest Hotel,5,3,5,5,1,4,Alexandre Desplat,true,2015,2014
Music (Original Score),87,The Imitation Game,8,5,7,0,0,1,Alexandre Desplat,false,2015,2014
Music (Original Score),87,Interstellar,3,1,4,1,0,1,Hans Zimmer,false,2015,2014
Music (Original Score),87,Mr. Turner,4,0,4,0,0,0,Gary Yershon,false,2015,2014
Music (Original Score),87,The Theory of Everything,6,2,4,2,2,1,Jóhann Jóhannsson,false,2015,2014
Music (Original Song),87,The Lego Movie,0,1,1,1,0,0,Music and Lyric by Shawn Patterson,false,2015,2014
