year_film,year_ceremony,ceremony,category,name,film,winner,film_awards,gender,race,country,continent
2001,2002,74,International Feature Film,Jean-Pierre Jeunet,Amélie,False,"{'nomsBaftas': 7, 'nomsGoldenGlobes': 1, 'nomsOscars': 5, 'winsBaftas': 2, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,France,Europe
2001,2002,74,International Feature Film,Petter Naess,Elling,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,Norway,Europe
2001,2002,74,International Feature Film,Ashutosh Gowariker,Lagaan,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,Indian,India,Asia
2001,2002,74,International Feature Film,Danis Tanovic,No Man's Land,True,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 0, 'winsBaftas': 0, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Male,White,Bosnia and Herzegovina,Europe
2001,2002,74,International Feature Film,Juan José Campanella,Son of the Bride,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,Hispanic,Argentina,South America
2001,2002,74,Makeup and Hairstyling,"Colleen Callaghan, Greg Cannom",A Beautiful Mind,False,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 2, 'nomsOscars': 4, 'winsBaftas': 2, 'winsGoldenGlobes': 4, 'winsOscars': 4}",F - M,White,,
2001,2002,74,Makeup and Hairstyling,"Peter Owen, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,True,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 4, 'nomsOscars': 9, 'winsBaftas': 5, 'winsGoldenGlobes': 0, 'winsOscars': 4}",Male,White,,
2001,2002,74,Makeup and Hairstyling,"Aldo Signoretti, Maurizio Silvi",Moulin Rouge,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 3, 'nomsOscars': 6, 'winsBaftas': 3, 'winsGoldenGlobes': 3, 'winsOscars': 2}",Male,White,,
2001,2002,74,Music (Original Score),John Williams,A.I. Artificial Intelligence,False,"{'nomsBaftas': 1, 'nomsGoldenGlobes': 3, 'nomsOscars': 2, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2001,2002,74,Music (Original Score),James Horner,A Beautiful Mind,False,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 2, 'nomsOscars': 4, 'winsBaftas': 2, 'winsGoldenGlobes': 4, 'winsOscars': 4}",Male,White,,
2001,2002,74,Music (Original Score),John Williams,Harry Potter and the Sorcerer's Stone,False,"{'nomsBaftas': 8, 'nomsGoldenGlobes': 0, 'nomsOscars': 3, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
