title,ID
Nightmare Alley,7740496
Away from Her,0491747
Wild Life,2097943
"Bardo, False Chronicle of a Handful of Truths",14176542
Pirates of the Caribbean: At World's End,0449088
Star Trek Beyond,2660888
Aya,2077703
Mary Poppins Returns,5028340
Speed for Thespians,0269899
Harry Potter and the Half-Blood Prince,0417741
The Danish Girl,0810819
Kavi,1399573
Bright Star,0810784
The Tale of the Princess Kaguya,2576852
Sun Come Up,1621975
Guardians of the Galaxy,2015381
Theeb,3170902
"Good Night, and Good Luck.",0433383
Green Book,6966692
Knife Skills,5745110
13th,5895028
Do Not Split,11512676
A House Made of Splinters,16377920
The Shore,2201259
The Square,4995790
Learning to Skateboard in a Warzone (If You're a Girl),10397932
The Lady in Number 6: Music Saved My Life,2924484
The Blood of Yingzhou District,0859595
Maleficent,1587310
War of the Worlds,0407304
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0363771
Foxcatcher,1100089
Fifty Shades of Grey,2322441
War for the Planet of the Apes,3450958
The Iron Lady,1007029
In the Loop,1226774
The Witness - From the Balcony of Room 306,1360068
The Great Beauty,2358891
(A) Torzija [(A) Torsion],0350476
Fire at Sea,3652526
Babel,0449467
Sideways,0375063
Crash,0375679
American Gangster,0765429
Milk,1013753
American Sniper,2179136
Baby Driver,3890160
Free Solo,7775622
The Curious Case of Benjamin Button,0421715
Incendies,1255953
Little Women,3281548
Revolting Rhymes,11714896
The Edge of Democracy,6016744
On My Mind,15289736
The Muppets,1204342
Wish 143,1518330
The Wife,3750872
Hereafter,1212419
Vanilla Sky,0259711
Black Hawk Down,0265086
Operation Homecoming: Writing the Wartime Experience,0970184
Inside Llewyn Davis,2042568
Zus & Zo,0245157
Million Dollar Baby,0405159
Little Children,0404203
The 100-Year-Old Man Who Climbed out the Window and Disappeared,4940370
Searching for Sugar Man,2125608
Blue Valentine,1120985
Mary Queen of Scots,2328900
One Small Step,8783042
Tár,14444726
Mrs. Harris Goes to Paris,5151570
Sweeney Todd The Demon Barber of Fleet Street,0408236
Howl's Moving Castle,0347149
The King's Speech,1504320
Hell and Back Again,1748043
Rise of the Planet of the Apes,1318514
"Life, Animated",3917210
Ferdinand,3411444
Amy,2870648
Flee,8430054
Dreamgirls,0443489
Body Team 12,4430002
Fantastic Beasts and Where to Find Them,3183660
Harvie Krumpet,0382734
Silence,0490215
Rio,1436562
Walk Run Cha-Cha,10182854
Guard Dog,0430159
The Wrestler,1125849
Manon on the Asphalt,1186020
Harriet,4648786
News of the World,6878306
Super Size Me,0390521
Affairs of the Art,14293560
Dirty Pretty Things,0301199
The Shape of Water,5580390
Chico & Rita,1235830
The Favourite,5083738
Incredibles 2,3606756
Harry Potter and the Sorcerer's Stone,0241527
Oktapodi,1323941
To Leslie,8129806
My Year of Dicks,17663790
Chicago,0299658
Straight Outta Compton,1398426
On Body and Soul,5607714
Negative Space,7090150
The Cooler,0318374
Yesterday,0419279
The Lives of Others,0405094
Toy Story 4,1979376
Fauve,7467476
Feeling Through,9280166
X-Men: Days of Future Past,1877832
When Marnie Was There,3398268
Twist of Faith,0436857
Sicko,0386032
Crazy Heart,1263670
Pentecost,1866218
Bohemian Rhapsody,1727824
Treasure Planet,0133240
Brooklyn,2381111
Avengers: Endgame,4154796
45 Years,3544082
Ad Astra,2935510
Cinderella Man,0352248
Into the Wild,0758758
Doctor Strange,1211837
Frozen River,0978759
At Night,0477347
Monster House,0385880
Norbit,0477051
Mirror Mirror,2085059
Me and My Moulton,3946086
The Silent Child,6186970
Twin Towers,0344503
Gone Girl,2267998
Jojo Rabbit,2584384
The Princess and the Frog,0780521
How to Train Your Dragon 2,1646971
The Affair of the Necklace,0242252
Bridge of Spies,3682448
Blonde,1655389
Far from Heaven,0297884
The One and Only Ivan,3661394
Juno,0467406
"Hale County This Morning, This Evening",6634646
Charlie and the Chocolate Factory,0367594
Jesus Camp,0486358
Invictus,1057500
Begin Again,1980929
Shok,4273570
My Nephew Emmett,6598290
Into the Woods,2180411
Transformers: Revenge of the Fallen,1055369
EO,19652910
The Big Short,1596363
The Jungle Book,3040964
Dear Basketball,6794476
Spellbound,0334405
Mike's New Car,0323250
Prisoner of Paradise,0316013
Enchanted,0461770
Pieces of a Woman,11161474
The Last Farm,0461847
Thirteen,0328538
Greyhound,6048922
In America,0298845
The Young Victoria,0962736
Across the Universe,0445922
The Aviator,0338751
